"ScGl_data_id","Site","Year","Tag","Transect","X.coord.m.","Y.coord.m.","Degrees","Direction","Height.cm.","Width.cm.","Fl","Br","Minis","PhotoNumber","Comments","X_coord_old","Y_coord_old","Vol"
"121",6091,"Atwell Gulch_108",2013,238,"4",0.71,12.93,NA,NA,8.4,9.2,"y","n",NA,"","",0,0,558.399244619664
"122",7762,"Atwell Gulch_108",2014,238,"4",0.71,12.93,NA,NA,6.9,8.8,"n","n",NA,"","black skeleton of last year's plant",0,0,419.666513037139
"123",9630,"Atwell Gulch_108",2015,238,"4",0.71,12.93,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
"124",11373,"Atwell Gulch_108",2016,238,"4",0.71,12.93,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
"125",2360,"Atwell Gulch_108",2011,238.01,"4",0.71,12.93,NA,NA,0.8,0.6,"n","n",NA,"3824","",0,0,0.226194671058465
"126",2361,"Atwell Gulch_108",2012,238.01,"4",0.71,12.93,NA,NA,0.6,0.7,"n","n",NA,"","",0,0,0.23090706003885
"127",6092,"Atwell Gulch_108",2013,238.01,"4",0.71,12.93,NA,NA,0,0,"n","n",NA,"","GONE",0,0,0
"128",9631,"Atwell Gulch_108",2015,238.01,"4",0.71,12.93,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
"129",11374,"Atwell Gulch_108",2016,238.01,"4",0.71,12.93,NA,NA,0,0,"n","n",NA,"","gone-hole",0,0,0
"130",2362,"Atwell Gulch_108",2011,238.02,"4",0.71,12.93,NA,NA,0.3,0.2,"n","n",NA,"3824","",0,0,0.00942477796076938
"131",2363,"Atwell Gulch_108",2012,238.02,"4",0.71,12.93,NA,NA,0.4,0.3,"n","n",NA,"","",0,0,0.0282743338823081
"132",6093,"Atwell Gulch_108",2013,238.02,"4",0.71,12.93,NA,NA,0.9,0.6,"n","n",NA,"","11 o'c",0,0,0.254469004940773
"133",7763,"Atwell Gulch_108",2014,238.02,"4",0.71,12.93,NA,NA,0.9,0.9,"n","n",NA,"","reddish",0,0,0.57255526111674
"134",9632,"Atwell Gulch_108",2015,238.02,"4",0.71,12.93,NA,NA,2.3,1.5,"n","n",NA,"","",0,0,4.06443549558179
"135",11375,"Atwell Gulch_108",2016,238.02,"4",0.71,12.93,NA,NA,1.8,2.2,"n","n",NA,"","Fl Buds",0,0,6.84238879951857
"136",2430,"Atwell Gulch_108",2011,238.03,"4",0.71,12.93,NA,NA,0.4,0.3,"n","n",NA,"3824","10o'c",0,0,0.0282743338823081
"137",2431,"Atwell Gulch_108",2012,238.03,"4",0.71,12.93,NA,NA,NA,NA,"n","n",NA,"","GONE",0,0,NA
"138",6094,"Atwell Gulch_108",2013,238.03,"4",0.71,12.93,NA,NA,0.9,0.9,"n","n",NA,"","10 o'c",0,0,0.57255526111674
"139",7764,"Atwell Gulch_108",2014,238.03,"4",0.71,12.93,NA,NA,0.8,0.6,"n","n",NA,"","",0,0,0.226194671058465
"140",9633,"Atwell Gulch_108",2015,238.03,"4",0.71,12.93,NA,NA,0.4,0.6,"n","n",NA,"","",0,0,0.113097335529233
"141",11376,"Atwell Gulch_108",2016,238.03,"4",0.71,12.93,NA,NA,0.9,0.9,"n","n",NA,"","",0,0,0.57255526111674
"142",2364,"Atwell Gulch_108",2011,238.04,"4",0.71,12.93,NA,NA,0.3,0.2,"n","n",NA,"3824","",0,0,0.00942477796076938
"143",2365,"Atwell Gulch_108",2012,238.04,"4",0.71,12.93,NA,NA,NA,NA,"n","n",NA,"","GONE",0,0,NA
"144",6095,"Atwell Gulch_108",2013,238.04,"4",0.71,12.93,NA,NA,0.6,0.6,"n","n",NA,"","9 o'c",0,0,0.169646003293849
"145",7765,"Atwell Gulch_108",2014,238.04,"4",0.71,12.93,NA,NA,1,0.8,"n","n",NA,"","",0,0,0.502654824574367
"146",9634,"Atwell Gulch_108",2015,238.04,"4",0.71,12.93,NA,NA,1.2,1.9,"n","n",NA,"","",0,0,3.40234484383775
"147",11377,"Atwell Gulch_108",2016,238.04,"4",0.71,12.93,NA,NA,2.6,1.7,"n","n",NA,"","",0,0,5.90148179976843
"148",1086,"Atwell Gulch_108",2009,241,"4",0.22,12.5,NA,NA,3,4,"y","n",NA,"1614","black spines",0,0,37.6991118430775
"149",1087,"Atwell Gulch_108",2010,241,"4",0.22,12.5,NA,NA,4.6,5.6,"y","n",NA,"913","",0,0,113.298397459062
"150",1089,"Atwell Gulch_108",2011,241,"4",0.22,12.5,NA,NA,4.4,6,"y","n",NA,"3823","",0,0,124.407069082156
"151",1088,"Atwell Gulch_108",2012,241,"4",0.22,12.5,NA,NA,4.7,5.8,"y","n",NA,"","",0,0,124.177732818444
"152",6090,"Atwell Gulch_108",2013,241,"4",0.22,12.5,NA,NA,6.4,5.8,"y","n",3,"","Plant 8 o'c from tag",0,0,169.093082986817
"153",7761,"Atwell Gulch_108",2014,241,"4",0.22,12.5,NA,NA,5.5,6.6,"y","n",NA,"","",0,0,188.165691986761
"154",9629,"Atwell Gulch_108",2015,241,"4",0.22,12.5,NA,NA,8.2,6,"n","n",NA,"","",0,0,231.849537834927
"155",11372,"Atwell Gulch_108",2016,241,"4",0.22,12.5,NA,NA,5.75,7,"y","n",NA,"","Fl Buds",0,0,221.285932537231
"156",1098,"Atwell Gulch_108",2009,266,"4",0.9,13.77,NA,NA,2,2.5,"n","n",NA,"1617, 1618","",0,0,9.8174770424681
"157",1099,"Atwell Gulch_108",2010,266,"4",0.9,13.77,NA,NA,1.7,3,"y","n",NA,"916","",0,0,12.016591899981
"158",1100,"Atwell Gulch_108",2011,266,"4",0.9,13.77,NA,NA,2.4,4.3,"y","n",NA,"3823","",0,0,34.8528288989252
"159",1101,"Atwell Gulch_108",2012,266,"4",0.9,13.77,NA,NA,2.7,4.8,"y","n",NA,"","",0,0,48.8580489486285
"160",6097,"Atwell Gulch_108",2013,266,"4",0.9,13.77,NA,NA,2.6,4.6,"y","n",NA,"","",0,0,43.209465357474
"161",7767,"Atwell Gulch_108",2014,266,"4",0.9,13.77,NA,NA,3.1,5.8,"n","n",NA,"","new growth but not buds",0,0,81.9044620717395
"162",9636,"Atwell Gulch_108",2015,266,"4",0.9,13.77,NA,NA,3.1,4.7,"n","n",NA,"","",0,0,53.7832808312939
"163",11380,"Atwell Gulch_108",2016,266,"4",0.9,13.77,NA,NA,3.5,5.3,"y","n",NA,"","",0,0,77.2164204344201
"164",1094,"Atwell Gulch_108",2009,279,"4",0.89,12.93,NA,NA,7.7,6.3,"y","n",NA,"1616","",0,0,240.027888910384
"165",1095,"Atwell Gulch_108",2010,279,"4",0.89,12.93,NA,NA,8.4,7,"y","n",NA,"915","",0,0,323.26988405439
"166",1097,"Atwell Gulch_108",2011,279,"4",0.89,12.93,NA,NA,7.2,9.2,"y","n",NA,"3825","",0,0,478.627923959712
"167",1096,"Atwell Gulch_108",2012,279,"4",0.89,12.93,NA,NA,8.8,7.3,"y","n",NA,"","",0,0,368.31403952156
"168",6096,"Atwell Gulch_108",2013,279,"4",0.89,12.93,NA,NA,7.7,7.9,"y","n",NA,"","",0,0,377.428585207788
"169",7766,"Atwell Gulch_108",2014,279,"4",0.89,12.93,NA,NA,8.2,7.5,"y","n",NA,"","",0,0,362.264902867073
"170",9635,"Atwell Gulch_108",2015,279,"4",0.89,12.93,NA,NA,10.4,8.1,"n","n",NA,"","",0,0,535.911724405268
"171",11378,"Atwell Gulch_108",2016,279,"4",0.89,12.93,NA,NA,8.4,7.6,"y","n",NA,"","",0,0,381.062622509828
"172",11121,"Atwell Gulch_108",2015,443,"4",0.27,13.6,NA,NA,1.3,3.5,"n","n",NA,"","",0,0,12.5074657521044
"173",11379,"Atwell Gulch_108",2016,443,"4",0.27,13.6,NA,NA,2.3,4.1,"y","n",NA,"","",0,0,30.3658491914355
"174",2719,"Atwell Gulch_108",2012,341,"9.5",1,7.8,NA,NA,2.2,4.5,"y","n",NA,"5050","",0,0,34.9894881793563
"175",6098,"Atwell Gulch_108",2013,341,"9.5",1,7.8,NA,NA,2.2,5.6,"y","n",NA,"5755","",0,0,54.1861900891167
"176",7769,"Atwell Gulch_108",2014,341,"9.5",1,7.8,NA,NA,2.7,6.1,"y","n",NA,"(5755) 506","",0,0,78.9065972820514
"177",9638,"Atwell Gulch_108",2015,341,"9.5",1,7.8,NA,NA,3.8,6.7,"y","n",NA,"5345","",0,0,133.974789508664
"178",11382,"Atwell Gulch_108",2016,341,"9.5",1,7.8,NA,NA,3.8,6.9,"y","n",NA,"","",0,0,142.09266492554
"179",2720,"Atwell Gulch_108",2012,359,"9.5",0.91,8.1,NA,NA,6.4,6.5,"y","n",NA,"5051","",0,0,212.37166338267
"180",6099,"Atwell Gulch_108",2013,359,"9.5",0.91,8.1,NA,NA,6.3,7.2,"y","n",NA,"5756","",0,0,256.504756980299
"181",7770,"Atwell Gulch_108",2014,359,"9.5",0.91,8.1,NA,NA,7.4,7,"y","n",NA,"(5756) 505","",0,0,284.785374047915
"182",9639,"Atwell Gulch_108",2015,359,"9.5",0.91,8.1,NA,NA,8.1,8,"y","n",NA,"5344","",0,0,407.150407905237
"183",11383,"Atwell Gulch_108",2016,359,"9.5",0.91,8.1,NA,NA,8.6,7.2,"y","n",NA,"","",0,0,350.149350798504
"184",2721,"Atwell Gulch_108",2012,359.01,"9.5",0.91,8.1,NA,NA,0.5,0.6,"n","n",NA,"5051","",0,0,0.141371669411541
"185",6100,"Atwell Gulch_108",2013,359.01,"9.5",0.91,8.1,NA,NA,1.5,0.5,"n","n",NA,"","",0,0,0.294524311274043
"186",7771,"Atwell Gulch_108",2014,359.01,"9.5",0.91,8.1,NA,NA,1.6,0.6,"n","n",NA,"","",0,0,0.45238934211693
"187",9640,"Atwell Gulch_108",2015,359.01,"9.5",0.91,8.1,NA,NA,1.3,0.9,"n","n",NA,"","",0,0,0.827024266057513
